Sanhueza Due–as, Gustavo;gustavo.sanhueza@congreso.cl;M
Santana Castillo, Juan;juan.santana@congreso.cl;M
Santana Tirachini, Alejandro;asantana@congreso.cl;M
Sauerbaum Mu–oz, Frank;frank.sauerbaum@congreso.cl;M
Schalper Sepœlveda, Diego;diego.schalper@congreso.cl;M
Schilling Rodr’guez, Marcelo;schilling@congreso.cl;M
Sepœlveda Soto, Alexis;alexis.sepulveda@congreso.cl;M
Silber Romo, Gabriel;gsilber@congreso.cl;M
Soto Ferrada, Leonardo;leonardo.soto@congreso.cl;M
Soto Mardones, Raœl;raul.soto@congreso.cl;M
Toh‡ Gonz‡lez, Jaime;jaime.toha@congreso.cl;M
Torrealba Alvarado, Sebasti‡n;sebastian.torrealba@congreso.cl;M
Torres Jeldes, V’ctor;vtorres@congreso.cl;M
Trisotti Mart’nez, Renzo;renzo.trisotti@congreso.cl;M
Troncoso Hellman, Virginia;virginia.troncoso@congreso.cl;F
Undurraga Gazitœa, Francisco;francisco.undurraga@congreso.cl;M
Urrutia Bonilla, Ignacio;iurrutia@congreso.cl;M
Urrutia Soto, Osvaldo;osvaldo.urrutia@congreso.cl;M
Urruticoechea R’os, Crist—bal;cristobal.urruticoechea@congreso.cl;M
Van Rysselberghe Herrera, Enrique;evr@congreso.cl;M
Vel‡squez Nœ–ez, Esteban;esteban.velasquez@congreso.cl;M
Vel‡squez Seguel, Pedro;pedro.velasquez@congreso.cl;M
Venegas C‡rdenas, Mario;mvenegas@congreso.cl;M
Verdessi Belemmi, Daniel;daniel.verdessi@congreso.cl;M
Von Mühlenbrock Zamora, Gast—n;gaston.vonmuhlenbrock@congreso.cl;M
Alarcón Rojas, Florcita;florcita.alarcon@congreso.cl;M
Álvarez Vera, Jenny;jenny.alvarez@congreso.cl;F
Barrera Moreno, Boris;boris.barrera@congreso.cl;M
Bernales Maldonado, Alejandro;alejandro.bernales@congreso.cl;M
Boric Font, Gabriel;gabriel.boric@congreso.cl;M
Brito Hasbœn, Jorge;jorge.brito@congreso.cl;M
Cariola Oliva, Karol;karol.cariola@congreso.cl;F
Carvajal Ambiado, Loreto;loreto.carvajal@congreso.cl;F
Castillo Mu–oz, Natalia;natalia.castillo@congreso.cl;F
Castro Gonz‡lez, Juan Luis;jlcastro@congreso.cl;M
Cicardini Milla, Daniella;daniella.cicardini@congreso.cl;F
Crispi Serrano, Miguel;miguel.crispi@congreso.cl;M
Díaz D’az, Marcelo;marcelo.diaz@congreso.cl;M
Espinoza Sandoval, Fidel;fespinoza@congreso.cl;M
Fern‡ndez Allende, Maya;maya.fernandez@congreso.cl;F
Garín Gonz‡lez, Renato;renato.garin@congreso.cl;M
Girardi Lav’n, Cristina;cgirardi@congreso.cl;F
Gutiérrez G‡lvez, Hugo;hgutierrez@congreso.cl;M
Hernando PŽrez, Marcela;marcela.hernando@congreso.cl;F
Hertz C‡diz, Carmen;carmen.hertz@congreso.cl;F
Hirsch Goldschmidt, Tom‡s;tomas.hirsch@congreso.cl;M
Ibañez Cotroneo, Diego;diego.ibanez@congreso.cl;M
Ilabaca Cerda, Marcos;marcos.ilabaca@congreso.cl;M
Jackson Drago, Giorgio;giorgio.jackson@congreso.cl;M
Jiles Moreno, Pamela;pamela.jiles@congreso.cl;F
Labra Sepœlveda, Amaro;amaro.labra@congreso.cl;M
Leiva Carvajal, Raœl;raul.leiva@congreso.cl;M
Marz‡n Pinto, Carolina;carolina.marzan@congreso.cl;F
Mirosevic Verdugo, Vlado;vlado.mirosevic@congreso.cl;M
Mix JimŽnez, Claudia;claudia.mix@congreso.cl;F
Monsalve Benavides, Manuel;mmonsalve@congreso.cl;M
Naranjo Ortiz, Jaime;jaime.naranjo@congreso.cl;M
Núñez Arancibia, Daniel;daniel.nunez@congreso.cl;M
Nuyado Ancapichœn, Emilia;emilia.nuyado@congreso.cl;F
Orsini Pascal, Maite;maite.orsini@congreso.cl;F
Parra Sauterel, Andrea;andrea.parra@congreso.cl;F
Pérez Olea, Joanna;joanna.perez@congreso.cl;F
Pérez Salinas, Catalina;catalina.perez@congreso.cl;F
Rocafull L—pez, Luis;luis.rocafull@congreso.cl;M
Rojas Valderrama, Camila;camila.rojas@congreso.cl;F
Rosas Barrientos, Patricio;patricio.rosas@congreso.cl;M
Saavedra Chand’a, Gast—n;gaston.saavedra@congreso.cl;M
Sabag Villalobos, Jorge;jsabag@congreso.cl;M
Santibáñez Novoa, Marisela;marisela.santibanez@congreso.cl;F
Sepœlveda Orbenes, Alejandra;asepulveda@congreso.cl;F
Teillier Del Valle, Guillermo;gteillier@congreso.cl;M
Vallejo Dowling, Camila;camila.vallejo@congreso.cl;F
Vidal Rojas, Pablo;pablo.vidal@congreso.cl;M
Walker Prieto, Mat’as;mwalker@congreso.cl;M
Winter Etcheberry, Gonzalo;gonzalo.winter@congreso.cl;M
Yeomans Araya, Gael;gael.yeomans@congreso.cl;M
